Country Name,Country Code,Series,Series Code,2017 [YR2017],2018 [YR2018],2019 [YR2019]
Timor-Leste,TLS,"Adult literacy rate, population 15+ years, male, adjusted location parity index (LPIA)",UIS.LR.AG15T99.M.LPIA,..,..,..
Tokelau,TKL,"Adult literacy rate, population 15+ years, rural, adjusted gender parity index (GPIA)",UIS.LR.AG15T99.RUR.GPIA,..,..,..
Tokelau,TKL,"Adult literacy rate, population 15+ years, male, adjusted location parity index (LPIA)",UIS.LR.AG15T99.M.LPIA,..,..,..
Trinidad and Tobago,TTO,"Adult literacy rate, population 15+ years, rural, adjusted gender parity index (GPIA)",UIS.LR.AG15T99.RUR.GPIA,..,..,..
Trinidad and Tobago,TTO,"Adult literacy rate, population 15+ years, male, adjusted location parity index (LPIA)",UIS.LR.AG15T99.M.LPIA,..,..,..
Turkey,TUR,"Adult literacy rate, population 15+ years, rural, adjusted gender parity index (GPIA)",UIS.LR.AG15T99.RUR.GPIA,..,..,..
Turkey,TUR,"Adult literacy rate, population 15+ years, male, adjusted location parity index (LPIA)",UIS.LR.AG15T99.M.LPIA,..,..,..
Thailand,THA,"Adult literacy rate, population 15+ years, rural, adjusted gender parity index (GPIA)",UIS.LR.AG15T99.RUR.GPIA,..,0.96198,..
Thailand,THA,"Adult literacy rate, population 15+ years, male, adjusted location parity index (LPIA)",UIS.LR.AG15T99.M.LPIA,..,0.96945,..
Tajikistan,TJK,"Adult literacy rate, population 15+ years, rural, adjusted gender parity index (GPIA)",UIS.LR.AG15T99.RUR.GPIA,..,..,..
Tajikistan,TJK,"Adult literacy rate, population 15+ years, male, adjusted location parity index (LPIA)",UIS.LR.AG15T99.M.LPIA,..,..,..
Switzerland,CHE,"Adult literacy rate, population 15+ years, rural, adjusted gender parity index (GPIA)",UIS.LR.AG15T99.RUR.GPIA,..,..,..
Switzerland,CHE,"Adult literacy rate, population 15+ years, male, adjusted location parity index (LPIA)",UIS.LR.AG15T99.M.LPIA,..,..,..
Suriname,SUR,"Adult literacy rate, population 15+ years, rural, adjusted gender parity index (GPIA)",UIS.LR.AG15T99.RUR.GPIA,..,..,..
Suriname,SUR,"Adult literacy rate, population 15+ years, male, adjusted location parity index (LPIA)",UIS.LR.AG15T99.M.LPIA,..,..,..
Sudan,SDN,"Adult literacy rate, population 15+ years, rural, adjusted gender parity index (GPIA)",UIS.LR.AG15T99.RUR.GPIA,..,..,..
Sudan,SDN,"Adult literacy rate, population 15+ years, male, adjusted location parity index (LPIA)",UIS.LR.AG15T99.M.LPIA,..,..,..
Sub-Saharan Africa (excluding high income),SSA,"Adult literacy rate, population 15+ years, rural, adjusted gender parity index (GPIA)",UIS.LR.AG15T99.RUR.GPIA,..,..,..
Sub-Saharan Africa (excluding high income),SSA,"Adult literacy rate, population 15+ years, male, adjusted location parity index (LPIA)",UIS.LR.AG15T99.M.LPIA,..,..,..
